xml_path,object_index,image_name,image_path,xmin,ymin,xmax,ymax,plate_text,status,reason
,0,Audi-A4-528794d.jpg_0359_0305_0250_0204_0066.png,C:\Users\shrey\Downloads\cvproject\Dataset\in\in\Audi-A4-528794d.jpg_0359_0305_0250_0204_0066.png,0,0,204,66,KAO3HN9993,ok,
,0,Audi-A6-528818b.jpg_0000_0311_0286_0189_0044.png,C:\Users\shrey\Downloads\cvproject\Dataset\in\in\Audi-A6-528818b.jpg_0000_0311_0286_0189_0044.png,0,0,189,44,KA03MS7979,ok,
,0,BMW-3-Series-528819e.jpg_0000_0310_0268_0192_0061.png,C:\Users\shrey\Downloads\cvproject\Dataset\in\in\BMW-3-Series-528819e.jpg_0000_0310_0268_0192_0061.png,0,0,192,61,VS1968,ok,
,0,BMW-5-Series-524359c.jpg_0000_0065_0186_0121_0058.png,C:\Users\shrey\Downloads\cvproject\Dataset\in\in\BMW-5-Series-524359c.jpg_0000_0065_0186_0121_0058.png,0,0,121,58,HR26B60383,ok,
,0,BMW-X1-528026e.jpg_0016_0384_0220_0114_0037.png,C:\Users\shrey\Downloads\cvproject\Dataset\in\in\BMW-X1-528026e.jpg_0016_0384_0220_0114_0037.png,0,0,114,37,DL1CP0290,ok,
,0,BMW-X5-528820c.jpg_0000_0316_0245_0160_0037.png,C:\Users\shrey\Downloads\cvproject\Dataset\in\in\BMW-X5-528820c.jpg_0000_0316_0245_0160_0037.png,0,0,160,37,KA43M2052,ok,
,0,Chevrolet-Aveo-521114c.jpg_0004_0365_0346_0224_0065.png,C:\Users\shrey\Downloads\cvproject\Dataset\in\in\Chevrolet-Aveo-521114c.jpg_0004_0365_0346_0224_0065.png,0,0,224,65,MH02B3234,ok,
,0,Chevrolet-Aveo-526315c.jpg_0357_0270_0361_0249_0087.png,C:\Users\shrey\Downloads\cvproject\Dataset\in\in\Chevrolet-Aveo-526315c.jpg_0357_0270_0361_0249_0087.png,0,0,249,87,DLGCAD6474,ok,
,0,Chevrolet-Aveo-528299d.jpg_0000_0218_0236_0170_0052.png,C:\Users\shrey\Downloads\cvproject\Dataset\in\in\Chevrolet-Aveo-528299d.jpg_0000_0218_0236_0170_0052.png,0,0,170,52,DL3CAE2067,ok,
,0,Chevrolet-Aveo-Old-523643b.jpg_0000_0084_0145_0087_0023.png,C:\Users\shrey\Downloads\cvproject\Dataset\in\in\Chevrolet-Aveo-Old-523643b.jpg_0000_0084_0145_0087_0023.png,0,0,87,23,NH02AQ73K,ok,
