xml_path,object_index,image_name,image_path,xmin,ymin,xmax,ymax,plate_text,status,reason
,0,Maruti-Suzuki-Ritz-526833c.jpg_0353_0220_0330_0252_0068.png,C:\Users\shrey\Downloads\cvproject\Dataset\in\in\Maruti-Suzuki-Ritz-526833c.jpg_0353_0220_0330_0252_0068.png,0,0,252,68,TN02AS2247,ok,
,0,Maruti-Suzuki-Ritz-527562c.jpg_0000_0247_0363_0223_0059.png,C:\Users\shrey\Downloads\cvproject\Dataset\in\in\Maruti-Suzuki-Ritz-527562c.jpg_0000_0247_0363_0223_0059.png,0,0,223,59,DL2CAL7538,ok,
,0,Maruti-Suzuki-Swift-526758b.jpg_0000_0239_0479_0270_0063.png,C:\Users\shrey\Downloads\cvproject\Dataset\in\in\Maruti-Suzuki-Swift-526758b.jpg_0000_0239_0479_0270_0063.png,0,0,270,63,KH06424325,ok,
,0,Maruti-Suzuki-A-Star-515320b.jpg_0000_0181_0310_0202_0059.png,C:\Users\shrey\Downloads\cvproject\Dataset\in\in\Maruti-Suzuki-A-Star-515320b.jpg_0000_0181_0310_0202_0059.png,0,0,202,59,N20B17899,ok,
,0,Maruti-Suzuki-A-Star-528553c.jpg_0010_0393_0448_0181_0058.png,C:\Users\shrey\Downloads\cvproject\Dataset\in\in\Maruti-Suzuki-A-Star-528553c.jpg_0010_0393_0448_0181_0058.png,0,0,181,58,MHOZBM1873,ok,
,0,Maruti-Suzuki-Swift-527247c.jpg_0002_0261_0471_0276_0059.png,C:\Users\shrey\Downloads\cvproject\Dataset\in\in\Maruti-Suzuki-Swift-527247c.jpg_0002_0261_0471_0276_0059.png,0,0,276,59,AP9BV4244,ok,
,0,Maruti-Suzuki-Wagon-R-523557c.jpg_0351_0147_0440_0283_0106.png,C:\Users\shrey\Downloads\cvproject\Dataset\in\in\Maruti-Suzuki-Wagon-R-523557c.jpg_0351_0147_0440_0283_0106.png,0,0,283,106,KL4349117,ok,
,0,Maruti-Suzuki-Alto-510127d.jpg_0350_0077_0312_0153_0056.png,C:\Users\shrey\Downloads\cvproject\Dataset\in\in\Maruti-Suzuki-Alto-510127d.jpg_0350_0077_0312_0153_0056.png,0,0,153,56,MK43AFB411,ok,
,0,Hyundai-i10-528896c.jpg_0005_0330_0448_0172_0052.png,C:\Users\shrey\Downloads\cvproject\Dataset\in\in\Hyundai-i10-528896c.jpg_0005_0330_0448_0172_0052.png,0,0,172,52,MH12GR709,ok,
,0,Chevrolet-Spark-527784c.jpg_0000_0356_0322_0184_0062.png,C:\Users\shrey\Downloads\cvproject\Dataset\in\in\Chevrolet-Spark-527784c.jpg_0000_0356_0322_0184_0062.png,0,0,184,62,MH2EM6015,ok,
,0,Hyundai-i10-522477c.jpg_0000_0156_0490_0249_0110.png,C:\Users\shrey\Downloads\cvproject\Dataset\in\in\Hyundai-i10-522477c.jpg_0000_0156_0490_0249_0110.png,0,0,249,110,TN02AJ0322,ok,
,0,Mahindra-XUV-500-528497c.jpg_0006_0341_0347_0224_0053.png,C:\Users\shrey\Downloads\cvproject\Dataset\in\in\Mahindra-XUV-500-528497c.jpg_0006_0341_0347_0224_0053.png,0,0,224,53,PBI0DN3466,ok,
,0,Maruti-Suzuki-Wagon-R-522807b.jpg_0332_-012_0357_0191_0042.png,C:\Users\shrey\Downloads\cvproject\Dataset\in\in\Maruti-Suzuki-Wagon-R-522807b.jpg_0332_-012_0357_0191_0042.png,0,0,191,42,OLAEAW0698,ok,
,0,Hyundai-Accent-523595f.jpg_0000_0248_0331_0131_0035.png,C:\Users\shrey\Downloads\cvproject\Dataset\in\in\Hyundai-Accent-523595f.jpg_0000_0248_0331_0131_0035.png,0,0,131,35,MHO2BG986,ok,
,0,Maruti-Suzuki-Wagon-R-527279b.jpg_0000_0094_0470_0136_0066.png,C:\Users\shrey\Downloads\cvproject\Dataset\in\in\Maruti-Suzuki-Wagon-R-527279b.jpg_0000_0094_0470_0136_0066.png,0,0,136,66,MH15CM16787,ok,
,0,Volkswagen-Vento-521156c.jpg_0003_0283_0308_0238_0056.png,C:\Users\shrey\Downloads\cvproject\Dataset\in\in\Volkswagen-Vento-521156c.jpg_0003_0283_0308_0238_0056.png,0,0,238,56,MF01AW5111,ok,
,0,Maruti-Suzuki-Swift-522136d.jpg_0005_0401_0386_0190_0057.png,C:\Users\shrey\Downloads\cvproject\Dataset\in\in\Maruti-Suzuki-Swift-522136d.jpg_0005_0401_0386_0190_0057.png,0,0,190,57,WBO8B8579,ok,
,0,Mahindra-Xylo-518096c.jpg_0356_0280_0254_0200_0060.png,C:\Users\shrey\Downloads\cvproject\Dataset\in\in\Mahindra-Xylo-518096c.jpg_0356_0280_0254_0200_0060.png,0,0,200,60,TNZ2BKLOO8,ok,
,0,Hyundai-Verna-522812b.jpg_0346_0131_0405_0138_0043.png,C:\Users\shrey\Downloads\cvproject\Dataset\in\in\Hyundai-Verna-522812b.jpg_0346_0131_0405_0138_0043.png,0,0,138,43,MHOEAN3997,ok,
,0,Ford-Fiesta-527657b.jpg_0347_0086_0273_0113_0034.png,C:\Users\shrey\Downloads\cvproject\Dataset\in\in\Ford-Fiesta-527657b.jpg_0347_0086_0273_0113_0034.png,0,0,113,34,MHO6AF2528,ok,
,0,Tata-Manza-523458c.jpg_0000_0246_0336_0319_0098.png,C:\Users\shrey\Downloads\cvproject\Dataset\in\in\Tata-Manza-523458c.jpg_0000_0246_0336_0319_0098.png,0,0,319,98,AP0AN1417,ok,
,0,Maruti-Suzuki-Swift-530225c.jpg_0000_0344_0344_0197_0055.png,C:\Users\shrey\Downloads\cvproject\Dataset\in\in\Maruti-Suzuki-Swift-530225c.jpg_0000_0344_0344_0197_0055.png,0,0,197,55,PHHOLEF5078,ok,
,0,Honda-Civic-523066c.jpg_0000_0276_0258_0235_0063.png,C:\Users\shrey\Downloads\cvproject\Dataset\in\in\Honda-Civic-523066c.jpg_0000_0276_0258_0235_0063.png,0,0,235,63,MHOLAH0545,ok,
,0,Mahindra-Scorpio-518977c.jpg_0000_0349_0284_0164_0046.png,C:\Users\shrey\Downloads\cvproject\Dataset\in\in\Mahindra-Scorpio-518977c.jpg_0000_0349_0284_0164_0046.png,0,0,164,46,HR51AS1615,ok,
,0,Maruti-Suzuki-Ertiga-514468f.jpg_0000_0140_0312_0140_0051.png,C:\Users\shrey\Downloads\cvproject\Dataset\in\in\Maruti-Suzuki-Ertiga-514468f.jpg_0000_0140_0312_0140_0051.png,0,0,140,51,CN69L41DLZ,ok,
,0,Maruti-Suzuki-A-Star-525645c.jpg_0358_0303_0388_0185_0063.png,C:\Users\shrey\Downloads\cvproject\Dataset\in\in\Maruti-Suzuki-A-Star-525645c.jpg_0358_0303_0388_0185_0063.png,0,0,185,63,MHI2FK3242,ok,
,0,Maruti-Suzuki-Wagon-R-520112d.jpg_0020_0619_0412_0119_0035.png,C:\Users\shrey\Downloads\cvproject\Dataset\in\in\Maruti-Suzuki-Wagon-R-520112d.jpg_0020_0619_0412_0119_0035.png,0,0,119,35,IMH434B0687,ok,
,0,Maruti-Suzuki-A-Star-526462b.jpg_0017_0462_0395_0159_0054.png,C:\Users\shrey\Downloads\cvproject\Dataset\in\in\Maruti-Suzuki-A-Star-526462b.jpg_0017_0462_0395_0159_0054.png,0,0,159,54,DLBCNB7,ok,
